,principal component 1,principal component 2,class
0,4.8516828969608365,2.9652052186639954,excellent
1,4.855277359805346,2.925019158521443,excellent
2,4.97957359411849,3.0652476925028114,excellent
3,4.964137742919952,2.944914429642685,excellent
4,4.948485635773287,2.921828347019689,excellent
5,4.825370341451065,2.7998444236935156,excellent
6,4.808546971440183,2.8426532251420924,excellent
7,4.84638757477791,2.7588476208020514,excellent
8,4.807189835369556,2.8607219720362953,excellent
9,4.797605253675339,2.908508079075608,excellent
10,4.849738429963097,2.9555602605401905,excellent
11,4.818799275708748,2.8845645301968883,excellent
12,4.907098102989829,3.021782324196201,excellent
13,4.861600000266809,2.9482009532622286,excellent
14,4.855465436701143,2.9207830723039536,excellent
15,4.879702453513105,2.9424530444385204,excellent
16,4.845531419536513,2.9808777554913846,excellent
17,4.840271018796332,2.9033151179075163,excellent
18,4.906872297191474,3.0681718775498195,excellent
19,4.908209395031016,3.094003928036124,excellent
20,4.872652024695906,3.0224127482884198,excellent
21,4.929548924816653,3.0736584674857705,excellent
22,4.895799059385003,3.034574906448223,excellent
23,4.8619626118645,2.944180138240801,excellent
24,4.8185550298439805,2.923010617547504,excellent
25,4.79025097495415,2.9197562272009194,excellent
26,4.939655209594551,2.852105018334572,excellent
27,4.884737781903847,2.496980561897468,excellent
28,4.9569446647712825,2.5515526307085707,excellent
29,4.962568115631136,2.5581664306541416,excellent
30,4.916397743954891,2.468512926301229,excellent
31,4.933956530693544,2.5081620554760584,excellent
32,4.8142430132954654,2.2715408871563523,excellent
33,4.888528427194589,2.3986607463900924,excellent
34,4.904645702938055,2.5401751299865225,excellent
35,4.922248990399585,2.5711815655902304,excellent
36,4.878422827822863,2.484865169505055,excellent
37,4.892563916908362,2.5076846836830775,excellent
38,4.9223501965653265,2.5378874768725344,excellent
39,4.864562782400186,2.501606272702822,excellent
40,4.817904340914995,2.427372076502452,excellent
41,4.870444228051831,2.428748853323753,excellent
42,4.840222280803246,2.466664627480765,excellent
43,4.883009109190841,2.4852506908327183,excellent
44,4.856816711612384,2.508244548932458,excellent
45,4.821711961152653,2.4568444143279273,excellent
46,4.844330790433738,2.447890138653999,excellent
47,4.776771600383623,2.40006255957215,excellent
48,4.782983081461745,2.4287136031145877,excellent
49,4.8262217525467905,2.4273144612152775,excellent
50,4.84349677882324,2.47294385637344,excellent
51,4.821990156094799,2.4707938079286187,excellent
